repo	summary
010DevX101/FastCastRedux	FastCast is being rewritten as of right now.
010DevX101/old-driving-test-game	A roblox game about passing your driving test. Get to the end of the obstacle course to recieve your license!
010DevX101/rbx-project-template	Contains a refined and up-to-date template to build games with a single-entry point on both contexts, using modern tooling.
01Kraken10/RobloxObby	Взят Kinematic Character Controller и ассет для утесов в поезде мини игры находятся в 2 разных сценах, в них нет победы\поражения, нет оптимизации
076c/chacha20_luau	This is a chacha20 implementation based on the C implementation This can be found here:
076c/graphy	Graphy is a highly performant graph module designed for Roblox to allow developers to optimize their workflows.
076c/roblox-rs	wip tool im working on that converts rust code to luau using syn
076c/roblox-rs-luau	'roblox-rs' is a dialect of Rust optimized to be transpilable to Luau.
07Eunseo/ROBLOX-Lua	로 블록 스 스튜디오 처음 접하신 분들을 위해 만들었습니다. 가끔식 스크립트 무료배포 할거고여 GUI가 포함한 스크립트는 배포후 디스코드 세라 #2007 에게 모델명 말하고 달라고 하시면 됨니다 :D 2 차 배포는 금지입니다!
0ceanRain/luau2	This isn't my real second game in luau just my second one that I put on git, so it is named as such.
0hirume/rojo-schema	JSON Schema completion, documentation, and validation for Rojo project and JSON model files.
0hirume/tree-sitter-luau	Tree-sitter grammars for Luau and LuauX.
0hoanglong/web-check-svv-roblox	Đây là một công cụ web đơn giản và hiệu quả giúp người chơi Roblox kiểm tra tính hợp lệ của các liên kết VIP Server, trích xuất thông tin cần thiết và tạo đường dẫn để mở trực tiếp trò chơi trong ứng dụng Roblox (Deep …
0kjuan/ROBLOX_ARCHIVE	This is the source code as of December 15, 2022. Some parts have been removed due to them being irrelevant to most people (e.g. a deployment program).
0W0wander/ROBLOXGameBlocker	Simply a Chrome extension that blocks specific games on the Roblox website using JavaScript. It maintains a list of game IDs and automatically blocks them when detected.
0x-Offset/CMD-Bar	both of these are quite old at this point. use something newer.
0x070696E65/roblox_symbol	この 3 つのファイルを ServerScriptService 直下に ModuleScript でファイル名このままでコピペしてください
0xCA5E/roblox-quarry	Roblox Studio Aftman for toolchain installation The Rojo Studio plugin
0Xd01x/RobloxReconnect	Automated Roblox connection management tool with GUI interface
0xDPE/FightScript	Adds fighting to your game fr fr \ Animations not by me
0xJWLabs/commander	The command line interface (CLI) is designed to provide users with a flexible and intuitive way to interact with the application.
0xJWLabs/luauexpress	LuauExpress is a simple and fast Luau web framework for Lune. LuauExpress is inspired by Hono and shares a similar API.
0xJWLabs/luauhono	LuauHono is a small, simple and fast web framework for Lune. It is inspired by Hono and shares a similar API.
0xJWLabs/rocord-luau	RoCord is a powerful and lightweight Discord bot designed to bridge communication between Roblox and Discord, enabling seamless cross-platform chatting in real time.
0xJWLabs/TopbarX	Construct dynamic and intuitive topbar icons. Enhance the appearance and behaviour of these icons with features such as themes, dropdowns and menus.
0xVexalis/Auth-Loader	Updates are slow. Project is in its early stage. Pull requests are check often. Just a fun project and hopefully it will be useful to others.
0Zayn/RVI	A special tool for installing specific versions of the Roblox Windows desktop client.
0zz5/roblox-utils	A utility module I use for my Roblox projects.
10j0/full-roblox-subdomain-list-4.2k	a list of known roblox subdomains as of aug 21, 2026
114514hhvb/robloxn	-- 基本运算函数定义 function add(a, b) return a + b end -- 加法配置
1389702532045078668/libraries	This UI Library was developed by samet The original repository is here:
14degrees/roblox0	A fully managed Roblox project using Rojo, Wally, and Lune.
16bit-16/kscarplay-server	Hono + Workers KV로 만든 백엔드. 상시 구동 서버 없이 요청 올 때만 실행됩니다.
1923812371283127398123712893126793/roblox-alt-gen-	Hi idk if this still works but enjoy the alt gen for roblox :)
1frail/robloxsnipr	,search 500 5 false — search 500 times for 5-letter Roblox names that don’t have numbers in them ,search 1000 4 true — search 1000 times for 4-letter Roblox names that do have numbers in them
1ntort/util	this is just a simple repository for all of my silly utility modules
1ZeroStorm/MachineLearningRobloxStudio	some of the machine learning from scratch works to improve games in roblox
2-Buckets/Roblox	Hello there. This is my first actual project that I'm going to put some time into. Hopefully it doesn't flop like all my other projects..., But, I guess time will tell on this...
23121059-erwin/robloxaiassistant	Aplikasi AI untuk tanya jawab tentang item Roblox.
252Scripter/RBLX-Acc-Dump	roblox added a stupid security notification if you try to sign into these accounts (some might not have the message so keep logging into different alts and you might get in.)
27sBurguer/roblox-get-eb-division-group	🚀 API que conecta grupos do Discord com o Roblox em tempo real.
29cmb/PackageManagerPlugin	An open-source plugin for distributing open source packages and libraries in an easy-to-use environment
2anonymous263/Roblox-ai-backend	Deze backend draait op Express en is bedoeld als veilige serverlaag tussen Roblox Studio en de OpenAI API.
2ashokreddy/myPythonDockerRepo	This a python based app and containerized. you can clone - This repo also have Jenkinsfile for automating the following:
2Lucid/ytb	Trois systèmes et un premier jeu, construits pour qu'un agent puisse produire un jeu Roblox de bout en bout et corriger son économie tout seul.
2MoonsLua/lua55c	This brings Lua 5.5 to windows with Error highlighting And stuff
2nnik/player-profile-loader	A server-side player data management system for Roblox built using ProfileStore and ReplicaService.
2nnik/roblox-packages	Roblox Packages -- This repository only provides the basic method of setting up packages for your games
2pendax/roblox-earnings-report	一个静态中文调研报告页，覆盖 Roblox 创作者变现路径、DevEx、游戏内购、UGC、广告、Creator Store、18+ 高保真游戏机会与风险判断。
2vq/RobloxScripts	Discord : godfather#0001 -- DM me for help on anything
3-14-denies-Pi/ddev-roblox-card	Cardblox is a powerful Discord bot designed to bridge the gap between Discord and Roblox.
3gabyxD/effect-system	Effect System Dependencies Documentation Sub-Modules Keypoint Tween
3lvin7ane/luau-grid-and-placement-systems	(Don't mind the random GitHub stuff I don't use it that often so I didn't really know what I was doing, I tried organizing for you but it failed)
47rooks/luau-examples	This repo contains Luau example code. It's just used for reference or for providing example problems to others to help me when I get stuck.
4812571/observe	Compared to many other reactive libraries, observe has a relatively small scope and straightforward API usage, allowing you to leverage it in your code with very minimal learning curve.
4amer/RobloxYGBase	I have started distributing an evolved version of UniRx in Cysharp/R3, please use it instead of UniRx.
4CBIIIHUK/gamerbx	Статический портал на Next.js: гайд по установке, просмотр Luau-скриптов, ремоуты и таблицы баланса. База данных не используется. Скрипты игры лежат в public/roblox и не требуют сервера.
4e1n/Roblox-Rare-UserName-Generator	Easy to use Roblox rare username generator
4GeeksAcademy/SemaforoRojo	You can update the styles/index.css or js/index.js depending on your needs. Add more files into your, ./src/js/components or styles folder as you need them.
4gh9/Multiple-Roblox-Open	This Is The Source Code For The Wearedevs "Multiple Games"
4steveh/RobloxRPG	A Roblox/Luau hunting-and-fishing RPG. This repo holds the design corpus (the *.md specs) and the implementation, built step-by-step per 03BUILDPLAN.md Phase 4.
4x1os/Lua-Portfolio	biggest project rn is atria federal prison for tellus architects/stec for NS. led the scripting team ground up for 2 projects and led around 12 other scripting members. Previous example work is shown in previous folders
4x8Matrix/gnome-luau	Gnome Luau was supposed to be some sort of Binding for Luau -> Gnome Shell.
4x8Matrix/gym-app	You can read about this mind boggling project here;
4x8Matrix/Rbx-Sound	RbxSound: A RBX (Roblox) Sound library which helps to take advantage of roblox sound effects & sound groups.
4x8Matrix/studio-themer	A few people asked if I'd turn my Studio theming setup into something anyone could run, so here it is - one executable that themes all of Roblox Studio: the script editor and Qt chrome, the modern Explorer, Properties, …
4x8Matrix/VoiceChatSDK	VoiceChatSDK brings new features to the roblox VoiceChat experience, I built this module because as of right now the only control developers actually have over VoiceChat is validation of voice chat.
4xMSAA/la-bomba-sweeper	Multiplayer minesweeper on a 25x25 board (customizable through code, as there is no user interface right now.) Assets are in the placefile available through Roblox.
4zzi/luau-compiler	uses luau::compile and bytecode::sign_bytecode then creates a file called Compiled.txt where the exe is with the content in it (for level 3 sploits that isn't c++)
59w59/skills-roblox	Um kit completo de regras de IA, habilidades (skills) reutilizáveis e subagentes projetado para blindar, otimizar e estruturar projetos do Roblox Studio (Luau).
61netpa/Material-for-Roblox	Material-for-Roblox A theme for Roblox based on Google's Material design .
620nm/tales-from-space	Tales from Space (TfS) is the game: every item, job, substance, reaction, map, and behavior handler that turns the lunatic engine into something worth logging into.
6man7go-bot/roblox-engine-x	Tell AI what game you want. Watch it build.
6usss/roblox-opti	Windows WPF tool for managing multiple Roblox instances.
7kcy/roblox-update-bot	A Discord bot that automatically detects and announces Roblox updates, just like the screenshots you provided.
7n7o/roblox-project-template	this is my template for roblox projects using wally, compiling to both a bundle and rbxm file
7zdv7cbb9h-lang/Npc-Pathfinder-Roblox	There are copyrights here, this is lua code only for Roblox Studio.
84g4js6pbr-web/robloxxx.comm	<script type="text/javascript" onerror="Roblox.BundleDetector && Roblox.BundleDetector.reportBundleError(this)" data-monitor="true" data-bundlename="Builder" data
890su/roblox_maxclassicalgame	Roblox RPG / Adventure с тремя концовками и прогрессирующей сюжетной петлёй.
8endit/roblox-topdown-arena	Ein kleiner Roblox-Prototyp fuer ein eigenes Top-Down-Zombie-Arena-Spiel.
8uv/roblox-chat-color-js	the roblox chat colour algorithm transpiled from lua to javascript.\ honesly, i made this months ago and only got around to making a repo for it just now\ \ run the getNameColour function on the desired username and …
930868/Animation-Player-Module	This small project aims to create an easy-use animation handler for Roblox Studio projects.
930868/Physics-Module	This module is old so it needs a checkout. I will publish a public interface whenever I think the module can actually be useful for people other than me. If you know what you are doing you are free to use and modify it.
A-Ricemusic/GreekRpgRoblox	This project uses roblox-ts, Bun, and Rojo to compile TypeScript and sync Luau output into Roblox Studio.
A-Ricemusic/roblox-game-rpg	A production Roblox project written in strict TypeScript with roblox-ts and synchronized with Rojo.
A229lexxDev/Roblox-CarSpawn	Sistema básico para generar vehículos en Roblox Studio.
A229lexxDev/Selector-de-uniformes-roblox-	Sistema de selección de uniformes para Roblox Studio inspirado en los juegos de rol de emergencias.
AA-Franz/OD_ExampleCameraScript	The .vscode/ folder will not be downloaded by clients if it exists.
AAAAAXfda-zz/Roblox-trunk	Rboxlo is a free and open-source Roblox private server that can be used to relive childhood memories and create new ones.
aaaditt/demon-slayer-roblox	A Roblox action RPG and PvP project. Minimum cast: Infinity Castle (2025), all nine Hashira, Tanjiro and friends, Muzan, and the Twelve Kizuki across the anime.
aaronaalmendarez/roblox-mcp	Claude · Gemini · Codex · OpenCode · any MCP client
aaronnguyencs/BW-Ro_Script	Auto-solves the Roblox Bridger Western fishing minigame: casts the rod, waits for the bobber to sink, presses the A–Z letter that appears each round, collects the chest with E, and recasts.
aaronsuns/roblox-dragonball	Dragon Ball–themed MVP: procedural map, seven star-rated Dragon Balls, random puzzles (times tables as 4-button multiple choice for touch/tablet / best-of-3 RPS), 1–7 star HUD, and a short Shenron-style win sequence …
Abdidev1/Badges-for-Absolutely-Everything	A simple Roblox project managed with Rojo where players get badges for doing basically nothing. Mostly a project to practice Luau scripting, Rojo syncing, and saving data.
